Rainfall - (MM), Year, Statistics, Country, ISO3
39.543, 1901, Jan Average, Greenland, GRL
52.2955, 1901, Feb Average, Greenland, GRL
55.4802, 1901, Mar Average, Greenland, GRL
30.7239, 1901, Apr Average, Greenland, GRL
32.7916, 1901, May Average, Greenland, GRL
46.7341, 1901, Jun Average, Greenland, GRL
63.0505, 1901, Jul Average, Greenland, GRL
58.1087, 1901, Aug Average, Greenland, GRL
54.6757, 1901, Sep Average, Greenland, GRL
29.365, 1901, Oct Average, Greenland, GRL
48.4806, 1901, Nov Average, Greenland, GRL
39.5756, 1901, Dec Average, Greenland, GRL
31.8119, 1902, Jan Average, Greenland, GRL
31.0752, 1902, Feb Average, Greenland, GRL
30.1351, 1902, Mar Average, Greenland, GRL
33.7905, 1902, Apr Average, Greenland, GRL
29.7363, 1902, May Average, Greenland, GRL
37.3026, 1902, Jun Average, Greenland, GRL
50.3524, 1902, Jul Average, Greenland, GRL
45.7253, 1902, Aug Average, Greenland, GRL
78.1493, 1902, Sep Average, Greenland, GRL
37.0495, 1902, Oct Average, Greenland, GRL
36.8667, 1902, Nov Average, Greenland, GRL
42.56, 1902, Dec Average, Greenland, GRL
34.3865, 1903, Jan Average, Greenland, GRL
37.9405, 1903, Feb Average, Greenland, GRL
30.0119, 1903, Mar Average, Greenland, GRL
29.6135, 1903, Apr Average, Greenland, GRL
35.6658, 1903, May Average, Greenland, GRL
67.3389, 1903, Jun Average, Greenland, GRL
34.3132, 1903, Jul Average, Greenland, GRL
42.3233, 1903, Aug Average, Greenland, GRL
39.9555, 1903, Sep Average, Greenland, GRL
27.4698, 1903, Oct Average, Greenland, GRL
39.0498, 1903, Nov Average, Greenland, GRL
35.2189, 1903, Dec Average, Greenland, GRL
35.4139, 1904, Jan Average, Greenland, GRL
31.4963, 1904, Feb Average, Greenland, GRL
37.4491, 1904, Mar Average, Greenland, GRL
23.6494, 1904, Apr Average, Greenland, GRL
19.7815, 1904, May Average, Greenland, GRL
36.2262, 1904, Jun Average, Greenland, GRL
53.5004, 1904, Jul Average, Greenland, GRL
43.4617, 1904, Aug Average, Greenland, GRL
45.835, 1904, Sep Average, Greenland, GRL
39.0263, 1904, Oct Average, Greenland, GRL
52.1365, 1904, Nov Average, Greenland, GRL
31.7933, 1904, Dec Average, Greenland, GRL
28.3496, 1905, Jan Average, Greenland, GRL
37.4458, 1905, Feb Average, Greenland, GRL
44.1019, 1905, Mar Average, Greenland, GRL
31.9737, 1905, Apr Average, Greenland, GRL
19.9638, 1905, May Average, Greenland, GRL
46.8905, 1905, Jun Average, Greenland, GRL
36.6736, 1905, Jul Average, Greenland, GRL
57.0226, 1905, Aug Average, Greenland, GRL
49.1138, 1905, Sep Average, Greenland, GRL
46.7354, 1905, Oct Average, Greenland, GRL
56.8584, 1905, Nov Average, Greenland, GRL
31.655, 1905, Dec Average, Greenland, GRL
30.6445, 1906, Jan Average, Greenland, GRL
39.5062, 1906, Feb Average, Greenland, GRL
43.0012, 1906, Mar Average, Greenland, GRL
38.2129, 1906, Apr Average, Greenland, GRL
22.491, 1906, May Average, Greenland, GRL
47.851, 1906, Jun Average, Greenland, GRL
50.0643, 1906, Jul Average, Greenland, GRL
33.3278, 1906, Aug Average, Greenland, GRL
39.9802, 1906, Sep Average, Greenland, GRL
42.4504, 1906, Oct Average, Greenland, GRL
37.4332, 1906, Nov Average, Greenland, GRL
44.4309, 1906, Dec Average, Greenland, GRL
33.4705, 1907, Jan Average, Greenland, GRL
40.8424, 1907, Feb Average, Greenland, GRL
31.2141, 1907, Mar Average, Greenland, GRL
24.6514, 1907, Apr Average, Greenland, GRL
19.8252, 1907, May Average, Greenland, GRL
40.1974, 1907, Jun Average, Greenland, GRL
43.9091, 1907, Jul Average, Greenland, GRL
55.5261, 1907, Aug Average, Greenland, GRL
35.0087, 1907, Sep Average, Greenland, GRL
39.0291, 1907, Oct Average, Greenland, GRL
43.4717, 1907, Nov Average, Greenland, GRL
38.1118, 1907, Dec Average, Greenland, GRL
37.4616, 1908, Jan Average, Greenland, GRL
44.5612, 1908, Feb Average, Greenland, GRL
62.6212, 1908, Mar Average, Greenland, GRL
33.3949, 1908, Apr Average, Greenland, GRL
23.223, 1908, May Average, Greenland, GRL
32.016, 1908, Jun Average, Greenland, GRL
43.9414, 1908, Jul Average, Greenland, GRL
65.7469, 1908, Aug Average, Greenland, GRL
53.9491, 1908, Sep Average, Greenland, GRL
41.2793, 1908, Oct Average, Greenland, GRL
43.8963, 1908, Nov Average, Greenland, GRL
34.1512, 1908, Dec Average, Greenland, GRL
34.8796, 1909, Jan Average, Greenland, GRL
33.6794, 1909, Feb Average, Greenland, GRL
39.2694, 1909, Mar Average, Greenland, GRL
34.7274, 1909, Apr Average, Greenland, GRL
18.0844, 1909, May Average, Greenland, GRL
50.1212, 1909, Jun Average, Greenland, GRL
32.3076, 1909, Jul Average, Greenland, GRL
55.8366, 1909, Aug Average, Greenland, GRL
47.0313, 1909, Sep Average, Greenland, GRL
30.1787, 1909, Oct Average, Greenland, GRL
45.2136, 1909, Nov Average, Greenland, GRL
32.251, 1909, Dec Average, Greenland, GRL
28.3876, 1910, Jan Average, Greenland, GRL
27.0082, 1910, Feb Average, Greenland, GRL
38.5041, 1910, Mar Average, Greenland, GRL
38.2452, 1910, Apr Average, Greenland, GRL
21.2248, 1910, May Average, Greenland, GRL
38.3961, 1910, Jun Average, Greenland, GRL
46.2237, 1910, Jul Average, Greenland, GRL
39.2797, 1910, Aug Average, Greenland, GRL
52.3967, 1910, Sep Average, Greenland, GRL
38.5004, 1910, Oct Average, Greenland, GRL
32.6667, 1910, Nov Average, Greenland, GRL
34.2257, 1910, Dec Average, Greenland, GRL
36.6263, 1911, Jan Average, Greenland, GRL
40.4615, 1911, Feb Average, Greenland, GRL
52.7279, 1911, Mar Average, Greenland, GRL
33.3761, 1911, Apr Average, Greenland, GRL
18.9779, 1911, May Average, Greenland, GRL
53.9299, 1911, Jun Average, Greenland, GRL
35.2543, 1911, Jul Average, Greenland, GRL
44.876, 1911, Aug Average, Greenland, GRL
45.0364, 1911, Sep Average, Greenland, GRL
47.1745, 1911, Oct Average, Greenland, GRL
45.3787, 1911, Nov Average, Greenland, GRL
28.7055, 1911, Dec Average, Greenland, GRL
38.4901, 1912, Jan Average, Greenland, GRL
42.398, 1912, Feb Average, Greenland, GRL
30.3226, 1912, Mar Average, Greenland, GRL
34.1093, 1912, Apr Average, Greenland, GRL
29.3586, 1912, May Average, Greenland, GRL
40.1693, 1912, Jun Average, Greenland, GRL
51.5653, 1912, Jul Average, Greenland, GRL
48.4494, 1912, Aug Average, Greenland, GRL
58.4211, 1912, Sep Average, Greenland, GRL
31.4932, 1912, Oct Average, Greenland, GRL
48.7654, 1912, Nov Average, Greenland, GRL
27.9481, 1912, Dec Average, Greenland, GRL
34.9598, 1913, Jan Average, Greenland, GRL
31.4174, 1913, Feb Average, Greenland, GRL
34.5421, 1913, Mar Average, Greenland, GRL
34.0172, 1913, Apr Average, Greenland, GRL
26.5515, 1913, May Average, Greenland, GRL
33.2352, 1913, Jun Average, Greenland, GRL
51.9698, 1913, Jul Average, Greenland, GRL
55.8963, 1913, Aug Average, Greenland, GRL
60.6386, 1913, Sep Average, Greenland, GRL
44.5839, 1913, Oct Average, Greenland, GRL
32.9665, 1913, Nov Average, Greenland, GRL
29.9145, 1913, Dec Average, Greenland, GRL
44.9358, 1914, Jan Average, Greenland, GRL
25.3625, 1914, Feb Average, Greenland, GRL
27.2427, 1914, Mar Average, Greenland, GRL
25.891, 1914, Apr Average, Greenland, GRL
28.6156, 1914, May Average, Greenland, GRL
48.8159, 1914, Jun Average, Greenland, GRL
44.2598, 1914, Jul Average, Greenland, GRL
57.2498, 1914, Aug Average, Greenland, GRL
38.1371, 1914, Sep Average, Greenland, GRL
38.2521, 1914, Oct Average, Greenland, GRL
54.7832, 1914, Nov Average, Greenland, GRL
30.2887, 1914, Dec Average, Greenland, GRL
34.5085, 1915, Jan Average, Greenland, GRL
29.2997, 1915, Feb Average, Greenland, GRL
35.988, 1915, Mar Average, Greenland, GRL
37.7521, 1915, Apr Average, Greenland, GRL
25.9016, 1915, May Average, Greenland, GRL
39.3775, 1915, Jun Average, Greenland, GRL
45.7003, 1915, Jul Average, Greenland, GRL
67.6368, 1915, Aug Average, Greenland, GRL
46.3854, 1915, Sep Average, Greenland, GRL
32.3651, 1915, Oct Average, Greenland, GRL
57.5404, 1915, Nov Average, Greenland, GRL
38.5399, 1915, Dec Average, Greenland, GRL
30.5474, 1916, Jan Average, Greenland, GRL
39.6604, 1916, Feb Average, Greenland, GRL
50.7353, 1916, Mar Average, Greenland, GRL
29.2633, 1916, Apr Average, Greenland, GRL
22.1782, 1916, May Average, Greenland, GRL
57.6943, 1916, Jun Average, Greenland, GRL
62.7874, 1916, Jul Average, Greenland, GRL
44.3425, 1916, Aug Average, Greenland, GRL
45.1316, 1916, Sep Average, Greenland, GRL
45.5522, 1916, Oct Average, Greenland, GRL
44.6712, 1916, Nov Average, Greenland, GRL
47.0898, 1916, Dec Average, Greenland, GRL
46.1177, 1917, Jan Average, Greenland, GRL
50.7065, 1917, Feb Average, Greenland, GRL
41.5114, 1917, Mar Average, Greenland, GRL
38.4772, 1917, Apr Average, Greenland, GRL
24.3929, 1917, May Average, Greenland, GRL
47.5992, 1917, Jun Average, Greenland, GRL
48.5115, 1917, Jul Average, Greenland, GRL
44.4672, 1917, Aug Average, Greenland, GRL
45.3223, 1917, Sep Average, Greenland, GRL
41.4895, 1917, Oct Average, Greenland, GRL
54.7436, 1917, Nov Average, Greenland, GRL
44.7953, 1917, Dec Average, Greenland, GRL
38.4426, 1918, Jan Average, Greenland, GRL
35.6928, 1918, Feb Average, Greenland, GRL
37.0538, 1918, Mar Average, Greenland, GRL
36.5903, 1918, Apr Average, Greenland, GRL
31.8278, 1918, May Average, Greenland, GRL
50.6641, 1918, Jun Average, Greenland, GRL
46.0504, 1918, Jul Average, Greenland, GRL
47.6352, 1918, Aug Average, Greenland, GRL
41.7153, 1918, Sep Average, Greenland, GRL
36.6562, 1918, Oct Average, Greenland, GRL
39.3049, 1918, Nov Average, Greenland, GRL
30.0506, 1918, Dec Average, Greenland, GRL
27.3695, 1919, Jan Average, Greenland, GRL
29.1772, 1919, Feb Average, Greenland, GRL
47.0051, 1919, Mar Average, Greenland, GRL
27.9376, 1919, Apr Average, Greenland, GRL
19.5726, 1919, May Average, Greenland, GRL
45.7183, 1919, Jun Average, Greenland, GRL
51.0325, 1919, Jul Average, Greenland, GRL
57.0547, 1919, Aug Average, Greenland, GRL
45.7941, 1919, Sep Average, Greenland, GRL
44.7691, 1919, Oct Average, Greenland, GRL
65.9995, 1919, Nov Average, Greenland, GRL
31.1813, 1919, Dec Average, Greenland, GRL
28.0632, 1920, Jan Average, Greenland, GRL
35.9603, 1920, Feb Average, Greenland, GRL
41.3463, 1920, Mar Average, Greenland, GRL
30.7925, 1920, Apr Average, Greenland, GRL
20.9858, 1920, May Average, Greenland, GRL
35.8548, 1920, Jun Average, Greenland, GRL
45.3373, 1920, Jul Average, Greenland, GRL
65.5318, 1920, Aug Average, Greenland, GRL
42.6344, 1920, Sep Average, Greenland, GRL
41.0016, 1920, Oct Average, Greenland, GRL
50.7229, 1920, Nov Average, Greenland, GRL
43.4592, 1920, Dec Average, Greenland, GRL
27.0543, 1921, Jan Average, Greenland, GRL
51.9279, 1921, Feb Average, Greenland, GRL
48.7399, 1921, Mar Average, Greenland, GRL
25.8982, 1921, Apr Average, Greenland, GRL
26.7286, 1921, May Average, Greenland, GRL
39.016, 1921, Jun Average, Greenland, GRL
39.6657, 1921, Jul Average, Greenland, GRL
57.6767, 1921, Aug Average, Greenland, GRL
43.5413, 1921, Sep Average, Greenland, GRL
44.6316, 1921, Oct Average, Greenland, GRL
48.5625, 1921, Nov Average, Greenland, GRL
39.3596, 1921, Dec Average, Greenland, GRL
32.7405, 1922, Jan Average, Greenland, GRL
35.1778, 1922, Feb Average, Greenland, GRL
53.4403, 1922, Mar Average, Greenland, GRL
36.492, 1922, Apr Average, Greenland, GRL
32.126, 1922, May Average, Greenland, GRL
45.9409, 1922, Jun Average, Greenland, GRL
39.8219, 1922, Jul Average, Greenland, GRL
53.5942, 1922, Aug Average, Greenland, GRL
36.3651, 1922, Sep Average, Greenland, GRL
41.4636, 1922, Oct Average, Greenland, GRL
52.3709, 1922, Nov Average, Greenland, GRL
45.9786, 1922, Dec Average, Greenland, GRL
44.6497, 1923, Jan Average, Greenland, GRL
25.5651, 1923, Feb Average, Greenland, GRL
44.4938, 1923, Mar Average, Greenland, GRL
40.8794, 1923, Apr Average, Greenland, GRL
