Temperature - (Celsius), Year, Statistics, Country, ISO3
-6.8047, 1901, Jan Average, Belarus, BLR
-7.0532, 1901, Feb Average, Belarus, BLR
-0.9586, 1901, Mar Average, Belarus, BLR
6.52032, 1901, Apr Average, Belarus, BLR
13.6177, 1901, May Average, Belarus, BLR
19.8515, 1901, Jun Average, Belarus, BLR
19.3318, 1901, Jul Average, Belarus, BLR
18.9366, 1901, Aug Average, Belarus, BLR
12.5855, 1901, Sep Average, Belarus, BLR
8.00979, 1901, Oct Average, Belarus, BLR
-0.1216, 1901, Nov Average, Belarus, BLR
-2.8707, 1901, Dec Average, Belarus, BLR
-1.986, 1902, Jan Average, Belarus, BLR
-6.3567, 1902, Feb Average, Belarus, BLR
-0.6454, 1902, Mar Average, Belarus, BLR
3.23479, 1902, Apr Average, Belarus, BLR
10.8271, 1902, May Average, Belarus, BLR
16.4565, 1902, Jun Average, Belarus, BLR
16.0672, 1902, Jul Average, Belarus, BLR
15.4895, 1902, Aug Average, Belarus, BLR
11.3045, 1902, Sep Average, Belarus, BLR
4.65243, 1902, Oct Average, Belarus, BLR
-2.8291, 1902, Nov Average, Belarus, BLR
-8.9725, 1902, Dec Average, Belarus, BLR
-4.7346, 1903, Jan Average, Belarus, BLR
-0.9237, 1903, Feb Average, Belarus, BLR
3.37647, 1903, Mar Average, Belarus, BLR
7.81472, 1903, Apr Average, Belarus, BLR
13.4462, 1903, May Average, Belarus, BLR
18.1145, 1903, Jun Average, Belarus, BLR
18.2233, 1903, Jul Average, Belarus, BLR
16.1149, 1903, Aug Average, Belarus, BLR
13.8885, 1903, Sep Average, Belarus, BLR
4.77521, 1903, Oct Average, Belarus, BLR
1.73267, 1903, Nov Average, Belarus, BLR
-4.2216, 1903, Dec Average, Belarus, BLR
-5.9046, 1904, Jan Average, Belarus, BLR
-2.7784, 1904, Feb Average, Belarus, BLR
-2.8764, 1904, Mar Average, Belarus, BLR
6.3916, 1904, Apr Average, Belarus, BLR
10.3153, 1904, May Average, Belarus, BLR
14.3328, 1904, Jun Average, Belarus, BLR
16.0499, 1904, Jul Average, Belarus, BLR
16.0138, 1904, Aug Average, Belarus, BLR
10.9044, 1904, Sep Average, Belarus, BLR
6.97644, 1904, Oct Average, Belarus, BLR
-0.205, 1904, Nov Average, Belarus, BLR
-2.7061, 1904, Dec Average, Belarus, BLR
-8.7126, 1905, Jan Average, Belarus, BLR
-3.7017, 1905, Feb Average, Belarus, BLR
-0.5489, 1905, Mar Average, Belarus, BLR
4.90457, 1905, Apr Average, Belarus, BLR
14.2791, 1905, May Average, Belarus, BLR
19.2175, 1905, Jun Average, Belarus, BLR
17.6867, 1905, Jul Average, Belarus, BLR
17.3357, 1905, Aug Average, Belarus, BLR
12.3688, 1905, Sep Average, Belarus, BLR
4.85902, 1905, Oct Average, Belarus, BLR
2.01938, 1905, Nov Average, Belarus, BLR
-3.4838, 1905, Dec Average, Belarus, BLR
-4.552, 1906, Jan Average, Belarus, BLR
-4.3773, 1906, Feb Average, Belarus, BLR
-0.164, 1906, Mar Average, Belarus, BLR
8.82371, 1906, Apr Average, Belarus, BLR
17.3824, 1906, May Average, Belarus, BLR
17.1787, 1906, Jun Average, Belarus, BLR
18.7544, 1906, Jul Average, Belarus, BLR
15.8944, 1906, Aug Average, Belarus, BLR
10.8423, 1906, Sep Average, Belarus, BLR
6.02956, 1906, Oct Average, Belarus, BLR
3.24846, 1906, Nov Average, Belarus, BLR
-5.3553, 1906, Dec Average, Belarus, BLR
-9.1058, 1907, Jan Average, Belarus, BLR
-7.3662, 1907, Feb Average, Belarus, BLR
-2.449, 1907, Mar Average, Belarus, BLR
4.46004, 1907, Apr Average, Belarus, BLR
13.6281, 1907, May Average, Belarus, BLR
16.1654, 1907, Jun Average, Belarus, BLR
17.0538, 1907, Jul Average, Belarus, BLR
15.1466, 1907, Aug Average, Belarus, BLR
12.376, 1907, Sep Average, Belarus, BLR
10.0941, 1907, Oct Average, Belarus, BLR
-1.7536, 1907, Nov Average, Belarus, BLR
-8.4385, 1907, Dec Average, Belarus, BLR
-5.0237, 1908, Jan Average, Belarus, BLR
-3.3913, 1908, Feb Average, Belarus, BLR
-2.2541, 1908, Mar Average, Belarus, BLR
5.09927, 1908, Apr Average, Belarus, BLR
12.0041, 1908, May Average, Belarus, BLR
15.8951, 1908, Jun Average, Belarus, BLR
18.3845, 1908, Jul Average, Belarus, BLR
16.0166, 1908, Aug Average, Belarus, BLR
11.7772, 1908, Sep Average, Belarus, BLR
5.26688, 1908, Oct Average, Belarus, BLR
-3.4738, 1908, Nov Average, Belarus, BLR
-6.0788, 1908, Dec Average, Belarus, BLR
-7.4772, 1909, Jan Average, Belarus, BLR
-9.593, 1909, Feb Average, Belarus, BLR
-1.6726, 1909, Mar Average, Belarus, BLR
3.89049, 1909, Apr Average, Belarus, BLR
9.72009, 1909, May Average, Belarus, BLR
16.0483, 1909, Jun Average, Belarus, BLR
16.7131, 1909, Jul Average, Belarus, BLR
17.2582, 1909, Aug Average, Belarus, BLR
15.1772, 1909, Sep Average, Belarus, BLR
9.42664, 1909, Oct Average, Belarus, BLR
-0.85, 1909, Nov Average, Belarus, BLR
-1.2664, 1909, Dec Average, Belarus, BLR
-3.6633, 1910, Jan Average, Belarus, BLR
-1.4484, 1910, Feb Average, Belarus, BLR
1.15324, 1910, Mar Average, Belarus, BLR
8.24623, 1910, Apr Average, Belarus, BLR
14.8852, 1910, May Average, Belarus, BLR
18.2581, 1910, Jun Average, Belarus, BLR
17.9341, 1910, Jul Average, Belarus, BLR
15.8234, 1910, Aug Average, Belarus, BLR
12.4342, 1910, Sep Average, Belarus, BLR
4.96137, 1910, Oct Average, Belarus, BLR
0.19837, 1910, Nov Average, Belarus, BLR
-0.7229, 1910, Dec Average, Belarus, BLR
-5.2854, 1911, Jan Average, Belarus, BLR
-9.7591, 1911, Feb Average, Belarus, BLR
-1.0644, 1911, Mar Average, Belarus, BLR
6.59927, 1911, Apr Average, Belarus, BLR
14.2651, 1911, May Average, Belarus, BLR
14.9159, 1911, Jun Average, Belarus, BLR
16.5986, 1911, Jul Average, Belarus, BLR
17.8721, 1911, Aug Average, Belarus, BLR
12.5859, 1911, Sep Average, Belarus, BLR
6.98471, 1911, Oct Average, Belarus, BLR
2.38676, 1911, Nov Average, Belarus, BLR
-3.3323, 1911, Dec Average, Belarus, BLR
-11.294, 1912, Jan Average, Belarus, BLR
-7.2667, 1912, Feb Average, Belarus, BLR
2.34877, 1912, Mar Average, Belarus, BLR
4.70037, 1912, Apr Average, Belarus, BLR
10.4539, 1912, May Average, Belarus, BLR
18.0554, 1912, Jun Average, Belarus, BLR
17.5315, 1912, Jul Average, Belarus, BLR
17.0981, 1912, Aug Average, Belarus, BLR
10.3943, 1912, Sep Average, Belarus, BLR
2.75281, 1912, Oct Average, Belarus, BLR
0.20031, 1912, Nov Average, Belarus, BLR
0.01407, 1912, Dec Average, Belarus, BLR
-6.1906, 1913, Jan Average, Belarus, BLR
-4.1884, 1913, Feb Average, Belarus, BLR
2.66457, 1913, Mar Average, Belarus, BLR
9.3198, 1913, Apr Average, Belarus, BLR
11.4282, 1913, May Average, Belarus, BLR
