Temperature - (Celsius), Year, Statistics, Country, ISO3
-28.489, 1901, Jan Average, Greenland, GRL
-22.256, 1901, Feb Average, Greenland, GRL
-28.488, 1901, Mar Average, Greenland, GRL
-24.147, 1901, Apr Average, Greenland, GRL
-14.213, 1901, May Average, Greenland, GRL
-7.1137, 1901, Jun Average, Greenland, GRL
-3.5183, 1901, Jul Average, Greenland, GRL
-6.5092, 1901, Aug Average, Greenland, GRL
-13.324, 1901, Sep Average, Greenland, GRL
-20.922, 1901, Oct Average, Greenland, GRL
-23.317, 1901, Nov Average, Greenland, GRL
-26.421, 1901, Dec Average, Greenland, GRL
-28.426, 1902, Jan Average, Greenland, GRL
-27.647, 1902, Feb Average, Greenland, GRL
-31.757, 1902, Mar Average, Greenland, GRL
-22.711, 1902, Apr Average, Greenland, GRL
-13.472, 1902, May Average, Greenland, GRL
-5.4577, 1902, Jun Average, Greenland, GRL
-3.2465, 1902, Jul Average, Greenland, GRL
-5.4093, 1902, Aug Average, Greenland, GRL
-13.345, 1902, Sep Average, Greenland, GRL
-18.692, 1902, Oct Average, Greenland, GRL
-25.183, 1902, Nov Average, Greenland, GRL
-27.776, 1902, Dec Average, Greenland, GRL
-26.786, 1903, Jan Average, Greenland, GRL
-30.068, 1903, Feb Average, Greenland, GRL
-32.785, 1903, Mar Average, Greenland, GRL
-23.46, 1903, Apr Average, Greenland, GRL
-14.142, 1903, May Average, Greenland, GRL
-6.6055, 1903, Jun Average, Greenland, GRL
-3.2093, 1903, Jul Average, Greenland, GRL
-7.0968, 1903, Aug Average, Greenland, GRL
-13.01, 1903, Sep Average, Greenland, GRL
-18.9, 1903, Oct Average, Greenland, GRL
-25.294, 1903, Nov Average, Greenland, GRL
-23.682, 1903, Dec Average, Greenland, GRL
-28.154, 1904, Jan Average, Greenland, GRL
-29.401, 1904, Feb Average, Greenland, GRL
-30.599, 1904, Mar Average, Greenland, GRL
-25.307, 1904, Apr Average, Greenland, GRL
-12.985, 1904, May Average, Greenland, GRL
-6.4625, 1904, Jun Average, Greenland, GRL
-3.2119, 1904, Jul Average, Greenland, GRL
-4.8966, 1904, Aug Average, Greenland, GRL
-13.457, 1904, Sep Average, Greenland, GRL
-22.451, 1904, Oct Average, Greenland, GRL
-25.859, 1904, Nov Average, Greenland, GRL
-25.061, 1904, Dec Average, Greenland, GRL
-29.63, 1905, Jan Average, Greenland, GRL
-29.494, 1905, Feb Average, Greenland, GRL
-26.403, 1905, Mar Average, Greenland, GRL
-19.724, 1905, Apr Average, Greenland, GRL
-12.906, 1905, May Average, Greenland, GRL
-6.7111, 1905, Jun Average, Greenland, GRL
-3.1305, 1905, Jul Average, Greenland, GRL
-6.0831, 1905, Aug Average, Greenland, GRL
-14.608, 1905, Sep Average, Greenland, GRL
-18.85, 1905, Oct Average, Greenland, GRL
-24.242, 1905, Nov Average, Greenland, GRL
-28.183, 1905, Dec Average, Greenland, GRL
-29.244, 1906, Jan Average, Greenland, GRL
-31.985, 1906, Feb Average, Greenland, GRL
-31.003, 1906, Mar Average, Greenland, GRL
-25.245, 1906, Apr Average, Greenland, GRL
-13.615, 1906, May Average, Greenland, GRL
-6.7442, 1906, Jun Average, Greenland, GRL
-3.4913, 1906, Jul Average, Greenland, GRL
-4.8224, 1906, Aug Average, Greenland, GRL
-12.653, 1906, Sep Average, Greenland, GRL
-20.217, 1906, Oct Average, Greenland, GRL
-26.931, 1906, Nov Average, Greenland, GRL
-27.847, 1906, Dec Average, Greenland, GRL
-28.786, 1907, Jan Average, Greenland, GRL
-31.204, 1907, Feb Average, Greenland, GRL
-33.129, 1907, Mar Average, Greenland, GRL
-25.147, 1907, Apr Average, Greenland, GRL
-14.304, 1907, May Average, Greenland, GRL
-6.9849, 1907, Jun Average, Greenland, GRL
-3.2419, 1907, Jul Average, Greenland, GRL
-6.0769, 1907, Aug Average, Greenland, GRL
-13.711, 1907, Sep Average, Greenland, GRL
-18.791, 1907, Oct Average, Greenland, GRL
-26.539, 1907, Nov Average, Greenland, GRL
-25.294, 1907, Dec Average, Greenland, GRL
-27.131, 1908, Jan Average, Greenland, GRL
-30.769, 1908, Feb Average, Greenland, GRL
-26.996, 1908, Mar Average, Greenland, GRL
-20.424, 1908, Apr Average, Greenland, GRL
-13.762, 1908, May Average, Greenland, GRL
-6.4881, 1908, Jun Average, Greenland, GRL
-1.664, 1908, Jul Average, Greenland, GRL
-6.3207, 1908, Aug Average, Greenland, GRL
-12.075, 1908, Sep Average, Greenland, GRL
-20.179, 1908, Oct Average, Greenland, GRL
-25.029, 1908, Nov Average, Greenland, GRL
-27.063, 1908, Dec Average, Greenland, GRL
-30.887, 1909, Jan Average, Greenland, GRL
-27.204, 1909, Feb Average, Greenland, GRL
-26.692, 1909, Mar Average, Greenland, GRL
-21.463, 1909, Apr Average, Greenland, GRL
-12.473, 1909, May Average, Greenland, GRL
-5.1728, 1909, Jun Average, Greenland, GRL
-3.2481, 1909, Jul Average, Greenland, GRL
-6.3026, 1909, Aug Average, Greenland, GRL
-12.34, 1909, Sep Average, Greenland, GRL
-21.964, 1909, Oct Average, Greenland, GRL
-24.452, 1909, Nov Average, Greenland, GRL
-30.618, 1909, Dec Average, Greenland, GRL
-31.499, 1910, Jan Average, Greenland, GRL
-32.929, 1910, Feb Average, Greenland, GRL
-31.642, 1910, Mar Average, Greenland, GRL
-23.556, 1910, Apr Average, Greenland, GRL
-13.695, 1910, May Average, Greenland, GRL
-7.199, 1910, Jun Average, Greenland, GRL
-3.3504, 1910, Jul Average, Greenland, GRL
-4.8078, 1910, Aug Average, Greenland, GRL
-13.487, 1910, Sep Average, Greenland, GRL
-19.374, 1910, Oct Average, Greenland, GRL
-27.263, 1910, Nov Average, Greenland, GRL
-27.153, 1910, Dec Average, Greenland, GRL
-28.278, 1911, Jan Average, Greenland, GRL
-33.963, 1911, Feb Average, Greenland, GRL
-29.189, 1911, Mar Average, Greenland, GRL
-21.791, 1911, Apr Average, Greenland, GRL
-13.433, 1911, May Average, Greenland, GRL
-6.347, 1911, Jun Average, Greenland, GRL
-3.1096, 1911, Jul Average, Greenland, GRL
-5.7252, 1911, Aug Average, Greenland, GRL
-13.7, 1911, Sep Average, Greenland, GRL
-18.416, 1911, Oct Average, Greenland, GRL
-24.412, 1911, Nov Average, Greenland, GRL
-27.573, 1911, Dec Average, Greenland, GRL
-26.133, 1912, Jan Average, Greenland, GRL
-28.199, 1912, Feb Average, Greenland, GRL
-29.983, 1912, Mar Average, Greenland, GRL
-23.171, 1912, Apr Average, Greenland, GRL
-13.488, 1912, May Average, Greenland, GRL
-4.8487, 1912, Jun Average, Greenland, GRL
-3.6165, 1912, Jul Average, Greenland, GRL
-6.2857, 1912, Aug Average, Greenland, GRL
-13.3, 1912, Sep Average, Greenland, GRL
-21.235, 1912, Oct Average, Greenland, GRL
-25.539, 1912, Nov Average, Greenland, GRL
-26.259, 1912, Dec Average, Greenland, GRL
-25.573, 1913, Jan Average, Greenland, GRL
-26.905, 1913, Feb Average, Greenland, GRL
-31.651, 1913, Mar Average, Greenland, GRL
-23.216, 1913, Apr Average, Greenland, GRL
-13.842, 1913, May Average, Greenland, GRL
-5.741, 1913, Jun Average, Greenland, GRL
-3.9125, 1913, Jul Average, Greenland, GRL
-6.617, 1913, Aug Average, Greenland, GRL
-13.215, 1913, Sep Average, Greenland, GRL
-19.796, 1913, Oct Average, Greenland, GRL
-26.678, 1913, Nov Average, Greenland, GRL
-28.179, 1913, Dec Average, Greenland, GRL
-29.081, 1914, Jan Average, Greenland, GRL
-34.121, 1914, Feb Average, Greenland, GRL
-32.806, 1914, Mar Average, Greenland, GRL
-24.591, 1914, Apr Average, Greenland, GRL
-16.179, 1914, May Average, Greenland, GRL
-8.3298, 1914, Jun Average, Greenland, GRL
-3.9553, 1914, Jul Average, Greenland, GRL
