Rainfall - (MM), Year, Statistics, Country, ISO3
25.1116, 1901, Jan Average, Belarus, BLR
31.8982, 1901, Feb Average, Belarus, BLR
45.5625, 1901, Mar Average, Belarus, BLR
54.3134, 1901, Apr Average, Belarus, BLR
32.6396, 1901, May Average, Belarus, BLR
102.599, 1901, Jun Average, Belarus, BLR
58.9163, 1901, Jul Average, Belarus, BLR
63.8069, 1901, Aug Average, Belarus, BLR
39.3316, 1901, Sep Average, Belarus, BLR
29.676, 1901, Oct Average, Belarus, BLR
56.3565, 1901, Nov Average, Belarus, BLR
60.1481, 1901, Dec Average, Belarus, BLR
54.9855, 1902, Jan Average, Belarus, BLR
29.0988, 1902, Feb Average, Belarus, BLR
44.4737, 1902, Mar Average, Belarus, BLR
47.9292, 1902, Apr Average, Belarus, BLR
77.9659, 1902, May Average, Belarus, BLR
86.7572, 1902, Jun Average, Belarus, BLR
102.697, 1902, Jul Average, Belarus, BLR
94.1292, 1902, Aug Average, Belarus, BLR
40.3584, 1902, Sep Average, Belarus, BLR
45.4607, 1902, Oct Average, Belarus, BLR
10.0205, 1902, Nov Average, Belarus, BLR
25.8963, 1902, Dec Average, Belarus, BLR
37.6124, 1903, Jan Average, Belarus, BLR
42.7243, 1903, Feb Average, Belarus, BLR
24.9726, 1903, Mar Average, Belarus, BLR
57.4772, 1903, Apr Average, Belarus, BLR
71.5941, 1903, May Average, Belarus, BLR
124.038, 1903, Jun Average, Belarus, BLR
139.949, 1903, Jul Average, Belarus, BLR
77.5018, 1903, Aug Average, Belarus, BLR
21.1048, 1903, Sep Average, Belarus, BLR
63.6591, 1903, Oct Average, Belarus, BLR
47.7245, 1903, Nov Average, Belarus, BLR
19.9106, 1903, Dec Average, Belarus, BLR
19.3268, 1904, Jan Average, Belarus, BLR
45.311, 1904, Feb Average, Belarus, BLR
14.492, 1904, Mar Average, Belarus, BLR
27.6018, 1904, Apr Average, Belarus, BLR
48.3312, 1904, May Average, Belarus, BLR
60.5892, 1904, Jun Average, Belarus, BLR
53.2382, 1904, Jul Average, Belarus, BLR
87.7608, 1904, Aug Average, Belarus, BLR
40.7519, 1904, Sep Average, Belarus, BLR
47.0828, 1904, Oct Average, Belarus, BLR
57.9682, 1904, Nov Average, Belarus, BLR
69.8727, 1904, Dec Average, Belarus, BLR
41.591, 1905, Jan Average, Belarus, BLR
18.5292, 1905, Feb Average, Belarus, BLR
25.0952, 1905, Mar Average, Belarus, BLR
60.126, 1905, Apr Average, Belarus, BLR
73.8128, 1905, May Average, Belarus, BLR
46.1658, 1905, Jun Average, Belarus, BLR
92.9101, 1905, Jul Average, Belarus, BLR
56.5988, 1905, Aug Average, Belarus, BLR
73.473, 1905, Sep Average, Belarus, BLR
78.0372, 1905, Oct Average, Belarus, BLR
72.166, 1905, Nov Average, Belarus, BLR
36.5921, 1905, Dec Average, Belarus, BLR
43.0038, 1906, Jan Average, Belarus, BLR
28.4185, 1906, Feb Average, Belarus, BLR
57.1546, 1906, Mar Average, Belarus, BLR
46.9143, 1906, Apr Average, Belarus, BLR
67.488, 1906, May Average, Belarus, BLR
91.6652, 1906, Jun Average, Belarus, BLR
117.204, 1906, Jul Average, Belarus, BLR
73.0854, 1906, Aug Average, Belarus, BLR
63.1883, 1906, Sep Average, Belarus, BLR
43.7502, 1906, Oct Average, Belarus, BLR
65.2899, 1906, Nov Average, Belarus, BLR
73.497, 1906, Dec Average, Belarus, BLR
38.0536, 1907, Jan Average, Belarus, BLR
24.4998, 1907, Feb Average, Belarus, BLR
24.4602, 1907, Mar Average, Belarus, BLR
47.5199, 1907, Apr Average, Belarus, BLR
40.0358, 1907, May Average, Belarus, BLR
78.0545, 1907, Jun Average, Belarus, BLR
120.292, 1907, Jul Average, Belarus, BLR
68.092, 1907, Aug Average, Belarus, BLR
20.0277, 1907, Sep Average, Belarus, BLR
14.7618, 1907, Oct Average, Belarus, BLR
31.7053, 1907, Nov Average, Belarus, BLR
74.692, 1907, Dec Average, Belarus, BLR
52.2353, 1908, Jan Average, Belarus, BLR
59.8843, 1908, Feb Average, Belarus, BLR
36.125, 1908, Mar Average, Belarus, BLR
50.5535, 1908, Apr Average, Belarus, BLR
65.2024, 1908, May Average, Belarus, BLR
78.2003, 1908, Jun Average, Belarus, BLR
60.8487, 1908, Jul Average, Belarus, BLR
119.368, 1908, Aug Average, Belarus, BLR
63.681, 1908, Sep Average, Belarus, BLR
27.7509, 1908, Oct Average, Belarus, BLR
26.3418, 1908, Nov Average, Belarus, BLR
23.7019, 1908, Dec Average, Belarus, BLR
27.984, 1909, Jan Average, Belarus, BLR
29.1344, 1909, Feb Average, Belarus, BLR
39.2245, 1909, Mar Average, Belarus, BLR
44.427, 1909, Apr Average, Belarus, BLR
50.3945, 1909, May Average, Belarus, BLR
83.3428, 1909, Jun Average, Belarus, BLR
111.429, 1909, Jul Average, Belarus, BLR
28.949, 1909, Aug Average, Belarus, BLR
49.9514, 1909, Sep Average, Belarus, BLR
35.6473, 1909, Oct Average, Belarus, BLR
67.7441, 1909, Nov Average, Belarus, BLR
40.0161, 1909, Dec Average, Belarus, BLR
64.1941, 1910, Jan Average, Belarus, BLR
30.82, 1910, Feb Average, Belarus, BLR
25.9375, 1910, Mar Average, Belarus, BLR
45.4964, 1910, Apr Average, Belarus, BLR
40.3941, 1910, May Average, Belarus, BLR
53.1076, 1910, Jun Average, Belarus, BLR
99.6487, 1910, Jul Average, Belarus, BLR
125.422, 1910, Aug Average, Belarus, BLR
48.5711, 1910, Sep Average, Belarus, BLR
16.637, 1910, Oct Average, Belarus, BLR
85.9554, 1910, Nov Average, Belarus, BLR
46.5124, 1910, Dec Average, Belarus, BLR
42.7388, 1911, Jan Average, Belarus, BLR
44.8592, 1911, Feb Average, Belarus, BLR
20.0572, 1911, Mar Average, Belarus, BLR
37.6446, 1911, Apr Average, Belarus, BLR
36.1066, 1911, May Average, Belarus, BLR
78.4878, 1911, Jun Average, Belarus, BLR
60.5831, 1911, Jul Average, Belarus, BLR
60.1791, 1911, Aug Average, Belarus, BLR
40.3666, 1911, Sep Average, Belarus, BLR
43.0163, 1911, Oct Average, Belarus, BLR
32.0477, 1911, Nov Average, Belarus, BLR
22.4698, 1911, Dec Average, Belarus, BLR
45.4413, 1912, Jan Average, Belarus, BLR
42.0835, 1912, Feb Average, Belarus, BLR
73.0446, 1912, Mar Average, Belarus, BLR
56.48, 1912, Apr Average, Belarus, BLR
67.0185, 1912, May Average, Belarus, BLR
71.3566, 1912, Jun Average, Belarus, BLR
63.2852, 1912, Jul Average, Belarus, BLR
79.1849, 1912, Aug Average, Belarus, BLR
106.864, 1912, Sep Average, Belarus, BLR
55.8899, 1912, Oct Average, Belarus, BLR
35.4403, 1912, Nov Average, Belarus, BLR
65.907, 1912, Dec Average, Belarus, BLR
20.9974, 1913, Jan Average, Belarus, BLR
26.9017, 1913, Feb Average, Belarus, BLR
26.8211, 1913, Mar Average, Belarus, BLR
66.8047, 1913, Apr Average, Belarus, BLR
44.3493, 1913, May Average, Belarus, BLR
74.5334, 1913, Jun Average, Belarus, BLR
136.906, 1913, Jul Average, Belarus, BLR
65.1988, 1913, Aug Average, Belarus, BLR
39.5523, 1913, Sep Average, Belarus, BLR
25.4149, 1913, Oct Average, Belarus, BLR
55.8543, 1913, Nov Average, Belarus, BLR
75.3564, 1913, Dec Average, Belarus, BLR
48.0833, 1914, Jan Average, Belarus, BLR
22.3864, 1914, Feb Average, Belarus, BLR
66.3915, 1914, Mar Average, Belarus, BLR
34.3001, 1914, Apr Average, Belarus, BLR
41.7827, 1914, May Average, Belarus, BLR
48.4216, 1914, Jun Average, Belarus, BLR
85.9103, 1914, Jul Average, Belarus, BLR
38.1177, 1914, Aug Average, Belarus, BLR
71.4135, 1914, Sep Average, Belarus, BLR
57.2412, 1914, Oct Average, Belarus, BLR
24.1636, 1914, Nov Average, Belarus, BLR
24.4056, 1914, Dec Average, Belarus, BLR
82.4089, 1915, Jan Average, Belarus, BLR
32.3677, 1915, Feb Average, Belarus, BLR
57.6101, 1915, Mar Average, Belarus, BLR
35.247, 1915, Apr Average, Belarus, BLR
42.8794, 1915, May Average, Belarus, BLR
34.0531, 1915, Jun Average, Belarus, BLR
78.0336, 1915, Jul Average, Belarus, BLR
75.1961, 1915, Aug Average, Belarus, BLR
62.9102, 1915, Sep Average, Belarus, BLR
12.1029, 1915, Oct Average, Belarus, BLR
62.3307, 1915, Nov Average, Belarus, BLR
88.0342, 1915, Dec Average, Belarus, BLR
64.7098, 1916, Jan Average, Belarus, BLR
41.3025, 1916, Feb Average, Belarus, BLR
35.5536, 1916, Mar Average, Belarus, BLR
43.0268, 1916, Apr Average, Belarus, BLR
40.6064, 1916, May Average, Belarus, BLR
106.384, 1916, Jun Average, Belarus, BLR
109.221, 1916, Jul Average, Belarus, BLR
89.391, 1916, Aug Average, Belarus, BLR
58.123, 1916, Sep Average, Belarus, BLR
74.346, 1916, Oct Average, Belarus, BLR
49.428, 1916, Nov Average, Belarus, BLR
59.527, 1916, Dec Average, Belarus, BLR
35.9023, 1917, Jan Average, Belarus, BLR
34.1001, 1917, Feb Average, Belarus, BLR
39.2504, 1917, Mar Average, Belarus, BLR
63.4446, 1917, Apr Average, Belarus, BLR
20.8413, 1917, May Average, Belarus, BLR
50.7991, 1917, Jun Average, Belarus, BLR
128.263, 1917, Jul Average, Belarus, BLR
83.5976, 1917, Aug Average, Belarus, BLR
61.4627, 1917, Sep Average, Belarus, BLR
57.1795, 1917, Oct Average, Belarus, BLR
66.9222, 1917, Nov Average, Belarus, BLR
35.8028, 1917, Dec Average, Belarus, BLR
59.1252, 1918, Jan Average, Belarus, BLR
29.7022, 1918, Feb Average, Belarus, BLR
10.4173, 1918, Mar Average, Belarus, BLR
8.74128, 1918, Apr Average, Belarus, BLR
16.3002, 1918, May Average, Belarus, BLR
78.0389, 1918, Jun Average, Belarus, BLR
131.027, 1918, Jul Average, Belarus, BLR
77.1018, 1918, Aug Average, Belarus, BLR
61.5868, 1918, Sep Average, Belarus, BLR
27.7838, 1918, Oct Average, Belarus, BLR
33.3354, 1918, Nov Average, Belarus, BLR
46.2308, 1918, Dec Average, Belarus, BLR
26.6493, 1919, Jan Average, Belarus, BLR
33.2795, 1919, Feb Average, Belarus, BLR
39.8136, 1919, Mar Average, Belarus, BLR
32.252, 1919, Apr Average, Belarus, BLR
37.6908, 1919, May Average, Belarus, BLR
111.402, 1919, Jun Average, Belarus, BLR
88.6696, 1919, Jul Average, Belarus, BLR
77.1904, 1919, Aug Average, Belarus, BLR
40.3701, 1919, Sep Average, Belarus, BLR
37.4091, 1919, Oct Average, Belarus, BLR
45.3451, 1919, Nov Average, Belarus, BLR
47.0098, 1919, Dec Average, Belarus, BLR
42.399, 1920, Jan Average, Belarus, BLR
22.8577, 1920, Feb Average, Belarus, BLR
23.7568, 1920, Mar Average, Belarus, BLR
25.2429, 1920, Apr Average, Belarus, BLR
50.6104, 1920, May Average, Belarus, BLR
72.3507, 1920, Jun Average, Belarus, BLR
50.1273, 1920, Jul Average, Belarus, BLR
58.2429, 1920, Aug Average, Belarus, BLR
43.2127, 1920, Sep Average, Belarus, BLR
14.8349, 1920, Oct Average, Belarus, BLR
19.9849, 1920, Nov Average, Belarus, BLR
23.5922, 1920, Dec Average, Belarus, BLR
64.8219, 1921, Jan Average, Belarus, BLR
12.636, 1921, Feb Average, Belarus, BLR
19.5644, 1921, Mar Average, Belarus, BLR
38.2514, 1921, Apr Average, Belarus, BLR
52.2751, 1921, May Average, Belarus, BLR
95.0317, 1921, Jun Average, Belarus, BLR
71.2529, 1921, Jul Average, Belarus, BLR
46.5867, 1921, Aug Average, Belarus, BLR
45.7268, 1921, Sep Average, Belarus, BLR
39.7497, 1921, Oct Average, Belarus, BLR
41.8424, 1921, Nov Average, Belarus, BLR
46.203, 1921, Dec Average, Belarus, BLR
49.8333, 1922, Jan Average, Belarus, BLR
53.2691, 1922, Feb Average, Belarus, BLR
58.7806, 1922, Mar Average, Belarus, BLR
44.3881, 1922, Apr Average, Belarus, BLR
65.7791, 1922, May Average, Belarus, BLR
79.6797, 1922, Jun Average, Belarus, BLR
93.5779, 1922, Jul Average, Belarus, BLR
88.0838, 1922, Aug Average, Belarus, BLR
65.1056, 1922, Sep Average, Belarus, BLR
54.7006, 1922, Oct Average, Belarus, BLR
45.2316, 1922, Nov Average, Belarus, BLR
51.5258, 1922, Dec Average, Belarus, BLR
37.5549, 1923, Jan Average, Belarus, BLR
21.9975, 1923, Feb Average, Belarus, BLR
20.4747, 1923, Mar Average, Belarus, BLR
34.2715, 1923, Apr Average, Belarus, BLR
65.4754, 1923, May Average, Belarus, BLR
75.3183, 1923, Jun Average, Belarus, BLR
69.3995, 1923, Jul Average, Belarus, BLR
99.952, 1923, Aug Average, Belarus, BLR
62.6501, 1923, Sep Average, Belarus, BLR
73.8793, 1923, Oct Average, Belarus, BLR
87.6666, 1923, Nov Average, Belarus, BLR
36.8209, 1923, Dec Average, Belarus, BLR
25.1987, 1924, Jan Average, Belarus, BLR
49.5713, 1924, Feb Average, Belarus, BLR
36.1438, 1924, Mar Average, Belarus, BLR
59.4763, 1924, Apr Average, Belarus, BLR
55.6434, 1924, May Average, Belarus, BLR
84.0749, 1924, Jun Average, Belarus, BLR
98.5478, 1924, Jul Average, Belarus, BLR
85.9537, 1924, Aug Average, Belarus, BLR
25.2662, 1924, Sep Average, Belarus, BLR
19.4052, 1924, Oct Average, Belarus, BLR
29.2663, 1924, Nov Average, Belarus, BLR
17.1469, 1924, Dec Average, Belarus, BLR
29.4792, 1925, Jan Average, Belarus, BLR
31.9359, 1925, Feb Average, Belarus, BLR
40.8985, 1925, Mar Average, Belarus, BLR
27.4737, 1925, Apr Average, Belarus, BLR
34.8332, 1925, May Average, Belarus, BLR
114.273, 1925, Jun Average, Belarus, BLR
69.7762, 1925, Jul Average, Belarus, BLR
123.289, 1925, Aug Average, Belarus, BLR
66.7927, 1925, Sep Average, Belarus, BLR
48.8559, 1925, Oct Average, Belarus, BLR
43.7266, 1925, Nov Average, Belarus, BLR
56.497, 1925, Dec Average, Belarus, BLR
32.4319, 1926, Jan Average, Belarus, BLR
46.0329, 1926, Feb Average, Belarus, BLR
36.3147, 1926, Mar Average, Belarus, BLR
31.1473, 1926, Apr Average, Belarus, BLR
44.3487, 1926, May Average, Belarus, BLR
88.5312, 1926, Jun Average, Belarus, BLR
66.5231, 1926, Jul Average, Belarus, BLR
69.5909, 1926, Aug Average, Belarus, BLR
61.5095, 1926, Sep Average, Belarus, BLR
75.2788, 1926, Oct Average, Belarus, BLR
34.3328, 1926, Nov Average, Belarus, BLR
55.622, 1926, Dec Average, Belarus, BLR
21.2508, 1927, Jan Average, Belarus, BLR
17.6724, 1927, Feb Average, Belarus, BLR
39.9284, 1927, Mar Average, Belarus, BLR
50.9673, 1927, Apr Average, Belarus, BLR
87.1475, 1927, May Average, Belarus, BLR
94.7779, 1927, Jun Average, Belarus, BLR
