Rainfall - (MM), Year, Statistics, Country, ISO3
79.6129, 1901, Jan Average, United Kingdom, GBR
60.1386, 1901, Feb Average, United Kingdom, GBR
83.1375, 1901, Mar Average, United Kingdom, GBR
82.9163, 1901, Apr Average, United Kingdom, GBR
43.8784, 1901, May Average, United Kingdom, GBR
72.0257, 1901, Jun Average, United Kingdom, GBR
72.1199, 1901, Jul Average, United Kingdom, GBR
94.925, 1901, Aug Average, United Kingdom, GBR
71.2872, 1901, Sep Average, United Kingdom, GBR
110.638, 1901, Oct Average, United Kingdom, GBR
106.184, 1901, Nov Average, United Kingdom, GBR
158.907, 1901, Dec Average, United Kingdom, GBR
76.5535, 1902, Jan Average, United Kingdom, GBR
55.1481, 1902, Feb Average, United Kingdom, GBR
78.7148, 1902, Mar Average, United Kingdom, GBR
55.7282, 1902, Apr Average, United Kingdom, GBR
85.9205, 1902, May Average, United Kingdom, GBR
70.7386, 1902, Jun Average, United Kingdom, GBR
77.5902, 1902, Jul Average, United Kingdom, GBR
94.0056, 1902, Aug Average, United Kingdom, GBR
73.662, 1902, Sep Average, United Kingdom, GBR
96.4982, 1902, Oct Average, United Kingdom, GBR
84.9968, 1902, Nov Average, United Kingdom, GBR
110.873, 1902, Dec Average, United Kingdom, GBR
148.144, 1903, Jan Average, United Kingdom, GBR
119.703, 1903, Feb Average, United Kingdom, GBR
156.768, 1903, Mar Average, United Kingdom, GBR
62.8109, 1903, Apr Average, United Kingdom, GBR
83.0413, 1903, May Average, United Kingdom, GBR
70.4153, 1903, Jun Average, United Kingdom, GBR
117.424, 1903, Jul Average, United Kingdom, GBR
149.477, 1903, Aug Average, United Kingdom, GBR
110.877, 1903, Sep Average, United Kingdom, GBR
236.58, 1903, Oct Average, United Kingdom, GBR
97.2831, 1903, Nov Average, United Kingdom, GBR
86.8301, 1903, Dec Average, United Kingdom, GBR
114.695, 1904, Jan Average, United Kingdom, GBR
118.003, 1904, Feb Average, United Kingdom, GBR
66.0031, 1904, Mar Average, United Kingdom, GBR
83.7827, 1904, Apr Average, United Kingdom, GBR
81.876, 1904, May Average, United Kingdom, GBR
50.5514, 1904, Jun Average, United Kingdom, GBR
78.0643, 1904, Jul Average, United Kingdom, GBR
115.546, 1904, Aug Average, United Kingdom, GBR
80.698, 1904, Sep Average, United Kingdom, GBR
62.2515, 1904, Oct Average, United Kingdom, GBR
83.6014, 1904, Nov Average, United Kingdom, GBR
100.59, 1904, Dec Average, United Kingdom, GBR
64.471, 1905, Jan Average, United Kingdom, GBR
69.4042, 1905, Feb Average, United Kingdom, GBR
132.727, 1905, Mar Average, United Kingdom, GBR
79.8613, 1905, Apr Average, United Kingdom, GBR
40.1063, 1905, May Average, United Kingdom, GBR
63.8285, 1905, Jun Average, United Kingdom, GBR
60.5712, 1905, Jul Average, United Kingdom, GBR
125.343, 1905, Aug Average, United Kingdom, GBR
79.6099, 1905, Sep Average, United Kingdom, GBR
98.1831, 1905, Oct Average, United Kingdom, GBR
144.782, 1905, Nov Average, United Kingdom, GBR
57.3454, 1905, Dec Average, United Kingdom, GBR
152.573, 1906, Jan Average, United Kingdom, GBR
99.2058, 1906, Feb Average, United Kingdom, GBR
82.2232, 1906, Mar Average, United Kingdom, GBR
46.2029, 1906, Apr Average, United Kingdom, GBR
108.697, 1906, May Average, United Kingdom, GBR
53.3815, 1906, Jun Average, United Kingdom, GBR
58.8753, 1906, Jul Average, United Kingdom, GBR
103.13, 1906, Aug Average, United Kingdom, GBR
45.4039, 1906, Sep Average, United Kingdom, GBR
169.646, 1906, Oct Average, United Kingdom, GBR
141.168, 1906, Nov Average, United Kingdom, GBR
115.332, 1906, Dec Average, United Kingdom, GBR
66.7665, 1907, Jan Average, United Kingdom, GBR
78.4306, 1907, Feb Average, United Kingdom, GBR
81.107, 1907, Mar Average, United Kingdom, GBR
79.3473, 1907, Apr Average, United Kingdom, GBR
105.999, 1907, May Average, United Kingdom, GBR
119.95, 1907, Jun Average, United Kingdom, GBR
76.7222, 1907, Jul Average, United Kingdom, GBR
108.091, 1907, Aug Average, United Kingdom, GBR
33.7081, 1907, Sep Average, United Kingdom, GBR
181.071, 1907, Oct Average, United Kingdom, GBR
98.6369, 1907, Nov Average, United Kingdom, GBR
138.795, 1907, Dec Average, United Kingdom, GBR
92.6471, 1908, Jan Average, United Kingdom, GBR
87.342, 1908, Feb Average, United Kingdom, GBR
131.454, 1908, Mar Average, United Kingdom, GBR
79.584, 1908, Apr Average, United Kingdom, GBR
69.4981, 1908, May Average, United Kingdom, GBR
57.5091, 1908, Jun Average, United Kingdom, GBR
89.1301, 1908, Jul Average, United Kingdom, GBR
104.897, 1908, Aug Average, United Kingdom, GBR
122.003, 1908, Sep Average, United Kingdom, GBR
61.1954, 1908, Oct Average, United Kingdom, GBR
80.9559, 1908, Nov Average, United Kingdom, GBR
105.669, 1908, Dec Average, United Kingdom, GBR
90.7991, 1909, Jan Average, United Kingdom, GBR
49.8209, 1909, Feb Average, United Kingdom, GBR
123.306, 1909, Mar Average, United Kingdom, GBR
89.45, 1909, Apr Average, United Kingdom, GBR
61.6002, 1909, May Average, United Kingdom, GBR
78.3638, 1909, Jun Average, United Kingdom, GBR
110.837, 1909, Jul Average, United Kingdom, GBR
87.5085, 1909, Aug Average, United Kingdom, GBR
80.9115, 1909, Sep Average, United Kingdom, GBR
172.218, 1909, Oct Average, United Kingdom, GBR
62.2873, 1909, Nov Average, United Kingdom, GBR
157.549, 1909, Dec Average, United Kingdom, GBR
122.879, 1910, Jan Average, United Kingdom, GBR
129.246, 1910, Feb Average, United Kingdom, GBR
52.1998, 1910, Mar Average, United Kingdom, GBR
97.8165, 1910, Apr Average, United Kingdom, GBR
70.8965, 1910, May Average, United Kingdom, GBR
69.6469, 1910, Jun Average, United Kingdom, GBR
99.109, 1910, Jul Average, United Kingdom, GBR
142.503, 1910, Aug Average, United Kingdom, GBR
29.6068, 1910, Sep Average, United Kingdom, GBR
96.514, 1910, Oct Average, United Kingdom, GBR
151.759, 1910, Nov Average, United Kingdom, GBR
143.026, 1910, Dec Average, United Kingdom, GBR
60.2962, 1911, Jan Average, United Kingdom, GBR
110.383, 1911, Feb Average, United Kingdom, GBR
63.9557, 1911, Mar Average, United Kingdom, GBR
72.0021, 1911, Apr Average, United Kingdom, GBR
54.204, 1911, May Average, United Kingdom, GBR
83.139, 1911, Jun Average, United Kingdom, GBR
49.7128, 1911, Jul Average, United Kingdom, GBR
70.3126, 1911, Aug Average, United Kingdom, GBR
