Rainfall - (MM), Year, Statistics, Country, ISO3
5.59686, 1901, Jan Average, Saudi Arabia, SAU
5.11901, 1901, Feb Average, Saudi Arabia, SAU
12.4772, 1901, Mar Average, Saudi Arabia, SAU
16.2331, 1901, Apr Average, Saudi Arabia, SAU
11.0131, 1901, May Average, Saudi Arabia, SAU
2.0106, 1901, Jun Average, Saudi Arabia, SAU
3.79186, 1901, Jul Average, Saudi Arabia, SAU
3.68354, 1901, Aug Average, Saudi Arabia, SAU
1.05612, 1901, Sep Average, Saudi Arabia, SAU
2.44571, 1901, Oct Average, Saudi Arabia, SAU
5.96461, 1901, Nov Average, Saudi Arabia, SAU
6.45322, 1901, Dec Average, Saudi Arabia, SAU
4.74094, 1902, Jan Average, Saudi Arabia, SAU
4.32512, 1902, Feb Average, Saudi Arabia, SAU
9.7055, 1902, Mar Average, Saudi Arabia, SAU
16.5416, 1902, Apr Average, Saudi Arabia, SAU
8.00663, 1902, May Average, Saudi Arabia, SAU
2.08155, 1902, Jun Average, Saudi Arabia, SAU
3.76539, 1902, Jul Average, Saudi Arabia, SAU
3.44008, 1902, Aug Average, Saudi Arabia, SAU
1.17793, 1902, Sep Average, Saudi Arabia, SAU
3.68002, 1902, Oct Average, Saudi Arabia, SAU
8.64898, 1902, Nov Average, Saudi Arabia, SAU
6.23788, 1902, Dec Average, Saudi Arabia, SAU
7.33724, 1903, Jan Average, Saudi Arabia, SAU
8.56881, 1903, Feb Average, Saudi Arabia, SAU
10.7871, 1903, Mar Average, Saudi Arabia, SAU
17.1361, 1903, Apr Average, Saudi Arabia, SAU
8.56771, 1903, May Average, Saudi Arabia, SAU
2.43016, 1903, Jun Average, Saudi Arabia, SAU
3.66807, 1903, Jul Average, Saudi Arabia, SAU
3.55759, 1903, Aug Average, Saudi Arabia, SAU
1.05661, 1903, Sep Average, Saudi Arabia, SAU
1.92007, 1903, Oct Average, Saudi Arabia, SAU
5.76129, 1903, Nov Average, Saudi Arabia, SAU
6.46728, 1903, Dec Average, Saudi Arabia, SAU
5.55295, 1904, Jan Average, Saudi Arabia, SAU
4.59553, 1904, Feb Average, Saudi Arabia, SAU
13.6173, 1904, Mar Average, Saudi Arabia, SAU
15.1543, 1904, Apr Average, Saudi Arabia, SAU
11.4117, 1904, May Average, Saudi Arabia, SAU
1.97355, 1904, Jun Average, Saudi Arabia, SAU
3.65873, 1904, Jul Average, Saudi Arabia, SAU
3.44443, 1904, Aug Average, Saudi Arabia, SAU
1.05629, 1904, Sep Average, Saudi Arabia, SAU
2.58525, 1904, Oct Average, Saudi Arabia, SAU
6.35778, 1904, Nov Average, Saudi Arabia, SAU
5.78621, 1904, Dec Average, Saudi Arabia, SAU
5.5007, 1905, Jan Average, Saudi Arabia, SAU
6.27455, 1905, Feb Average, Saudi Arabia, SAU
12.589, 1905, Mar Average, Saudi Arabia, SAU
14.7314, 1905, Apr Average, Saudi Arabia, SAU
8.56747, 1905, May Average, Saudi Arabia, SAU
1.97602, 1905, Jun Average, Saudi Arabia, SAU
3.65851, 1905, Jul Average, Saudi Arabia, SAU
3.44463, 1905, Aug Average, Saudi Arabia, SAU
1.19025, 1905, Sep Average, Saudi Arabia, SAU
2.07644, 1905, Oct Average, Saudi Arabia, SAU
5.77886, 1905, Nov Average, Saudi Arabia, SAU
7.32461, 1905, Dec Average, Saudi Arabia, SAU
5.71632, 1906, Jan Average, Saudi Arabia, SAU
7.62807, 1906, Feb Average, Saudi Arabia, SAU
14.9372, 1906, Mar Average, Saudi Arabia, SAU
16.0843, 1906, Apr Average, Saudi Arabia, SAU
11.1536, 1906, May Average, Saudi Arabia, SAU
2.08697, 1906, Jun Average, Saudi Arabia, SAU
3.6601, 1906, Jul Average, Saudi Arabia, SAU
3.74001, 1906, Aug Average, Saudi Arabia, SAU
1.05605, 1906, Sep Average, Saudi Arabia, SAU
1.92545, 1906, Oct Average, Saudi Arabia, SAU
7.10116, 1906, Nov Average, Saudi Arabia, SAU
4.50896, 1906, Dec Average, Saudi Arabia, SAU
6.61928, 1907, Jan Average, Saudi Arabia, SAU
9.8362, 1907, Feb Average, Saudi Arabia, SAU
9.24363, 1907, Mar Average, Saudi Arabia, SAU
16.0628, 1907, Apr Average, Saudi Arabia, SAU
8.41462, 1907, May Average, Saudi Arabia, SAU
2.01128, 1907, Jun Average, Saudi Arabia, SAU
3.77236, 1907, Jul Average, Saudi Arabia, SAU
4.09749, 1907, Aug Average, Saudi Arabia, SAU
0.95569, 1907, Sep Average, Saudi Arabia, SAU
1.90342, 1907, Oct Average, Saudi Arabia, SAU
6.48357, 1907, Nov Average, Saudi Arabia, SAU
5.05095, 1907, Dec Average, Saudi Arabia, SAU
6.84494, 1908, Jan Average, Saudi Arabia, SAU
4.80576, 1908, Feb Average, Saudi Arabia, SAU
11.0124, 1908, Mar Average, Saudi Arabia, SAU
15.5274, 1908, Apr Average, Saudi Arabia, SAU
11.2633, 1908, May Average, Saudi Arabia, SAU
2.03383, 1908, Jun Average, Saudi Arabia, SAU
3.67861, 1908, Jul Average, Saudi Arabia, SAU
3.43374, 1908, Aug Average, Saudi Arabia, SAU
1.1261, 1908, Sep Average, Saudi Arabia, SAU
1.81635, 1908, Oct Average, Saudi Arabia, SAU
5.92457, 1908, Nov Average, Saudi Arabia, SAU
5.35696, 1908, Dec Average, Saudi Arabia, SAU
6.40568, 1909, Jan Average, Saudi Arabia, SAU
4.04009, 1909, Feb Average, Saudi Arabia, SAU
10.9643, 1909, Mar Average, Saudi Arabia, SAU
23.3375, 1909, Apr Average, Saudi Arabia, SAU
11.8884, 1909, May Average, Saudi Arabia, SAU
2.0321, 1909, Jun Average, Saudi Arabia, SAU
3.74455, 1909, Jul Average, Saudi Arabia, SAU
3.54971, 1909, Aug Average, Saudi Arabia, SAU
1.1343, 1909, Sep Average, Saudi Arabia, SAU
2.33789, 1909, Oct Average, Saudi Arabia, SAU
8.04903, 1909, Nov Average, Saudi Arabia, SAU
7.91629, 1909, Dec Average, Saudi Arabia, SAU
6.93965, 1910, Jan Average, Saudi Arabia, SAU
4.38157, 1910, Feb Average, Saudi Arabia, SAU
12.7029, 1910, Mar Average, Saudi Arabia, SAU
14.8075, 1910, Apr Average, Saudi Arabia, SAU
9.54227, 1910, May Average, Saudi Arabia, SAU
1.97524, 1910, Jun Average, Saudi Arabia, SAU
3.65177, 1910, Jul Average, Saudi Arabia, SAU
4.18933, 1910, Aug Average, Saudi Arabia, SAU
1.05605, 1910, Sep Average, Saudi Arabia, SAU
2.10836, 1910, Oct Average, Saudi Arabia, SAU
5.79247, 1910, Nov Average, Saudi Arabia, SAU
5.92972, 1910, Dec Average, Saudi Arabia, SAU
6.02855, 1911, Jan Average, Saudi Arabia, SAU
5.52915, 1911, Feb Average, Saudi Arabia, SAU
21.1829, 1911, Mar Average, Saudi Arabia, SAU
15.5978, 1911, Apr Average, Saudi Arabia, SAU
7.9329, 1911, May Average, Saudi Arabia, SAU
1.97354, 1911, Jun Average, Saudi Arabia, SAU
4.32155, 1911, Jul Average, Saudi Arabia, SAU
3.43298, 1911, Aug Average, Saudi Arabia, SAU
1.05643, 1911, Sep Average, Saudi Arabia, SAU
2.39111, 1911, Oct Average, Saudi Arabia, SAU
9.63967, 1911, Nov Average, Saudi Arabia, SAU
6.20619, 1911, Dec Average, Saudi Arabia, SAU
7.24772, 1912, Jan Average, Saudi Arabia, SAU
6.39994, 1912, Feb Average, Saudi Arabia, SAU
11.283, 1912, Mar Average, Saudi Arabia, SAU
23.5343, 1912, Apr Average, Saudi Arabia, SAU
9.24041, 1912, May Average, Saudi Arabia, SAU
1.95927, 1912, Jun Average, Saudi Arabia, SAU
3.74418, 1912, Jul Average, Saudi Arabia, SAU
3.79128, 1912, Aug Average, Saudi Arabia, SAU
1.05607, 1912, Sep Average, Saudi Arabia, SAU
2.61016, 1912, Oct Average, Saudi Arabia, SAU
6.27271, 1912, Nov Average, Saudi Arabia, SAU
12.6597, 1912, Dec Average, Saudi Arabia, SAU
6.09337, 1913, Jan Average, Saudi Arabia, SAU
10.923, 1913, Feb Average, Saudi Arabia, SAU
11.2494, 1913, Mar Average, Saudi Arabia, SAU
14.9496, 1913, Apr Average, Saudi Arabia, SAU
9.38878, 1913, May Average, Saudi Arabia, SAU
1.97673, 1913, Jun Average, Saudi Arabia, SAU
3.89793, 1913, Jul Average, Saudi Arabia, SAU
4.09617, 1913, Aug Average, Saudi Arabia, SAU
1.01143, 1913, Sep Average, Saudi Arabia, SAU
2.32247, 1913, Oct Average, Saudi Arabia, SAU
6.0372, 1913, Nov Average, Saudi Arabia, SAU
7.67512, 1913, Dec Average, Saudi Arabia, SAU
6.37202, 1914, Jan Average, Saudi Arabia, SAU
6.89265, 1914, Feb Average, Saudi Arabia, SAU
11.8623, 1914, Mar Average, Saudi Arabia, SAU
19.0689, 1914, Apr Average, Saudi Arabia, SAU
8.61177, 1914, May Average, Saudi Arabia, SAU
2.03826, 1914, Jun Average, Saudi Arabia, SAU
4.41585, 1914, Jul Average, Saudi Arabia, SAU
3.72394, 1914, Aug Average, Saudi Arabia, SAU
1.01149, 1914, Sep Average, Saudi Arabia, SAU
2.36398, 1914, Oct Average, Saudi Arabia, SAU
7.90285, 1914, Nov Average, Saudi Arabia, SAU
5.98866, 1914, Dec Average, Saudi Arabia, SAU
5.75499, 1915, Jan Average, Saudi Arabia, SAU
6.25904, 1915, Feb Average, Saudi Arabia, SAU
15.4976, 1915, Mar Average, Saudi Arabia, SAU
19.4775, 1915, Apr Average, Saudi Arabia, SAU
9.51132, 1915, May Average, Saudi Arabia, SAU
1.97354, 1915, Jun Average, Saudi Arabia, SAU
3.78859, 1915, Jul Average, Saudi Arabia, SAU
3.4285, 1915, Aug Average, Saudi Arabia, SAU
1.01149, 1915, Sep Average, Saudi Arabia, SAU
1.94337, 1915, Oct Average, Saudi Arabia, SAU
6.06905, 1915, Nov Average, Saudi Arabia, SAU
5.46085, 1915, Dec Average, Saudi Arabia, SAU
6.56114, 1916, Jan Average, Saudi Arabia, SAU
6.27889, 1916, Feb Average, Saudi Arabia, SAU
12.3814, 1916, Mar Average, Saudi Arabia, SAU
17.9594, 1916, Apr Average, Saudi Arabia, SAU
8.39612, 1916, May Average, Saudi Arabia, SAU
2.03211, 1916, Jun Average, Saudi Arabia, SAU
4.22042, 1916, Jul Average, Saudi Arabia, SAU
4.01088, 1916, Aug Average, Saudi Arabia, SAU
1.05821, 1916, Sep Average, Saudi Arabia, SAU
1.98356, 1916, Oct Average, Saudi Arabia, SAU
7.61136, 1916, Nov Average, Saudi Arabia, SAU
6.36494, 1916, Dec Average, Saudi Arabia, SAU
6.97813, 1917, Jan Average, Saudi Arabia, SAU
6.99952, 1917, Feb Average, Saudi Arabia, SAU
10.6647, 1917, Mar Average, Saudi Arabia, SAU
18.8296, 1917, Apr Average, Saudi Arabia, SAU
8.43919, 1917, May Average, Saudi Arabia, SAU
2.03211, 1917, Jun Average, Saudi Arabia, SAU
3.97997, 1917, Jul Average, Saudi Arabia, SAU
3.61993, 1917, Aug Average, Saudi Arabia, SAU
1.53238, 1917, Sep Average, Saudi Arabia, SAU
2.45687, 1917, Oct Average, Saudi Arabia, SAU
5.83849, 1917, Nov Average, Saudi Arabia, SAU
6.35827, 1917, Dec Average, Saudi Arabia, SAU
6.23574, 1918, Jan Average, Saudi Arabia, SAU
6.09269, 1918, Feb Average, Saudi Arabia, SAU
13.3086, 1918, Mar Average, Saudi Arabia, SAU
16.7916, 1918, Apr Average, Saudi Arabia, SAU
11.2781, 1918, May Average, Saudi Arabia, SAU
2.03352, 1918, Jun Average, Saudi Arabia, SAU
3.98472, 1918, Jul Average, Saudi Arabia, SAU
3.66398, 1918, Aug Average, Saudi Arabia, SAU
1.53224, 1918, Sep Average, Saudi Arabia, SAU
3.07805, 1918, Oct Average, Saudi Arabia, SAU
